RAZON SOCIAL,CUIT,SERVICIO,RESOLUCION,FECHA RES,EXPEDIENTE,DOMICILIO,LOCALIDAD,PROVINCIA,C.POSTAL,TELEFONO
"AIZPUN, ALBERTO RAUL",20-11133386-7,VA-ISP,9707  ENACOM/2016,27/12/2016,EXPCNC E 3915/1997,RICARDO ROJAS 2155  ,MAR DEL PLATA,BUENOS AIRES,7600,0223-472-4000
AJU S.R.L.,30-67309672-3,VA-ISP,4707  ENACOM/2017,24/11/2017,EX- -APN-SDYME#ENACOM 18603821/2017,DEAN FUNES 343 - Piso 5 - Dpto/Of. B,SALTA,SALTA,4400,0387-495-3068
AKAM S.R.L.,30-71251226-8,VA-ISP,9021  ENACOM/2016,14/12/2016,EXPENACOM 10394/2016,ORTIZ DE OCAMPO 3302  ,CABA,CIUDAD DE BUENOS AIRES,C1425DSV,011-4893-1472
"ALAIMO FLORES, ANGEL ADRIAN",20-35508458-3,VA-ISP,185  ENACOM/2017,23/08/2017,EXPENACOM 9752/2017,USHUAIA 1408  ,RADA TILLY,CHUBUT,U9001END,0264-456-1771
"ALANIS, RODOLFO DANIEL",20-17604910-4,VA-ISP,1439 ENACOM/2021,05/10/2021,EX- -APN-REYS#ENACOM 63377695/2020,EDUARDO FERNANDEZ 1060  ,LA CARLOTA,CORDOBA,X2670BDV,03584-43-8521
"ALARCON, ADOLFO LEONEL",20-39216364-7,L-TIC,949 ENACOM/2021,09/08/2021,EX- -APN-REYS#ENACOM 85042199/2020,LAS PIEDRAS 89  ,GENERAL GUEMES,SALTA,4430,0387-463-0990
"ALARCON, FERNANDO ENRIQUE",20-26572714-0,VA-ISP,651 ENACOM/2018,25/10/2018,EXPENACOM 3456/2017,AVELLANEDA 1821  ,BAHIA BLANCA,BUENOS AIRES,8000,0291-999-9999
"ALARCON, LUIS MARIA",20-07622662-9,SAP,   56SOPC1994,01/02/1994,EXPCNT 18102/1993,MOISES LEBENSOHN 3497  ,PARANA,ENTRE RIOS,3100,0342-435-1166
"ALARCON, LUIS MARIA",20-07622662-9,STMB,   58SOPC1994,02/02/1994,EXPCNT 18101/1993,MOISES LEBENSOHN 3497  ,PARANA,ENTRE RIOS,3100,0342-435-1166
"ALARCON, LUIS MARIA",20-07622662-9,SRC,   60SOPC1999,02/02/1994,EXPCNT 18103/1993,MOISES LEBENSOHN 3497  ,PARANA,ENTRE RIOS,3100,0342-435-1166
ALARMAS ARGENTINAS S.R.L.,30-70897431-1,SAVR,  286SC  2008,25/09/2008,EXPCNC 8799/2004,GRAL. J. A. LAVALLEJA 1422  ,CORDOBA,CORDOBA,X5000KKR,0351-265-0137
ALARMAS ARGENTINAS S.R.L.,30-70897431-1,SVA,  286SC  2008,25/09/2008,EXPCNC 8799/2004,GRAL. J. A. LAVALLEJA 1422  ,CORDOBA,CORDOBA,X5000KKR,0351-265-0137
ALARMAS Y COMUNICACIONES S.A.,30-58742648-6,SAVR,2537  ENACOM/2016,16/05/2016,EXPCNC 2046/2011,RIVADAVIA 754  ,CORDOBA,CORDOBA,X5000IPP,0351-423-9905
"ALBA POSSE, LILIANA PATRICIA",27-24877980-8,VA-ISP,6801  ENACOM/2016,23/09/2016,EXPENACOM 8446/2016,SANTIAGO DEL ESTERO S/N  ,SANTA RITA,MISIONES,3363,03755-50-7479
"ALBORNOZ, GUIDO RUBEN",20-30303447-2,VA-ISP,10446  ENACOM/2016,30/12/2016,EXPENACOM 14881/2016,9 DE JULIO 44  ,COSTA SACATE,CORDOBA,5961,03572-44-6663
"ALBORNOZ, RAUL ADRIAN",20-21175554-8,VA-ISP,5922  ENACOM/2017,27/12/2017,EXPENACOM 12988/2017,MISIONES 1768  ,FLORENCIO VARELA,BUENOS AIRES,1888,011-3658-2783
"ALCAIN, GUSTAVO",20-13043046-6,SVA,    3SC  2009,12/01/2009,EXPCNC 9557/2006,BOULEVARD RACEDO 901  ,PARANA,ENTRE RIOS,3100,0343-544-3090
"ALCALDE, MIRIAM GABRIELA",27-27609785-2,L-TIC,3602 ENACOM/2019,03/09/2019,EX- -APN-REYS#ENACOM 12292720/2019,27 DE ABRIL 394  ,LA BANDA,SANTIAGO DEL ESTERO,4300,011-4099-3305
ALDEA GLOBAL S.A.                                                                                   ,30-70750325-0,STP,   33SC  2002,23/05/2002,EXPCNC E 7171/2001,PARAGUAY 635 - Piso 10 - Dpto/Of. B,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,1057,011-4314-4756
ALDEA GLOBAL S.A.                                                                                   ,30-70750325-0,REVEN,  255SC  2002,04/12/2002,EXPCNC E 7171/2001,PARAGUAY 635 - Piso 10 - Dpto/Of. B,CIUDAD DE BUENOS AIRES,CIUDAD DE BUENOS AIRES,1057,011-4314-4756
"ALDERETE RIVAS JORDAN, HECTOR RODOLFO",20-25958681-0,VA-ISP,273  ENACOM/2017,25/08/2017,EXPENACOM 8404/2016,LUCAS CORDOBA 198  ,JUAN BAUTISTA ALBERDI,TUCUMAN,T4161MRD,03865-55-3681
"ALDERETE RIVAS JORDAN, TOMAS SEBASTIAN",20-27142014-6,VA-ISP,6799  ENACOM/2016,23/09/2016,EXPENACOM 8313/2016,SARMIENTO 46  ,CONCEPCION,TUCUMAN,4146,0385-44-0883
"ALDERETE, RAMON EDUARDO",20-31505915-2,VA-ISP,105 ENACOM/2020,27/02/2020,EX- -APN-REYS#ENACOM 65389507/2019,4 DE JUNIO Y PJE. SAN LUIS - LOTE 3 S/N  ,LASTENIA,TUCUMAN,4111,0381-330-2610
"ALDERICI, ALBERTO JUAN",20-07918181-2,SRSVF,1318 COMFER/1995,,EXPCOMFER 457/1995,SAN MARTIN 0  ,LAS GARCITAS,CHACO,3515,03725-49-7084
"ALDERICI, OLGA ESTHER",27-10178625-6,VA-ISP,415 ENACOM/2021,19/04/2021,EX- -APN-REYS#ENACOM 41733957/2020,BELGRANO 63  ,PAMPA DEL INFIERNO,CHACO,3708,--
"ALDERICI, OLGA ESTHER",27-10178625-6,SRSVF,102 COMFER/1994,,EXPCOMFER 255/1993,BELGRANO 63  ,PAMPA DEL INFIERNO,CHACO,3708,--
"ALEGRE, ARIEL OMAR",20-27208877-3,VA-ISP,1868 ENACOM/2021,24/11/2021,EX- -APN-REYS#ENACOM 43543698/2020,2 DE ABRIL 0  ,CAMPO VIERA,MISIONES,3362,03755-50-4422
ALEJO RURAL S.R.L.,33-66843582-9,SRSVF,597 COMFER/07,06/06/2007,EXPCOMFER 2388/1996,RUTA 8 Y ACCESO S/N  ,ALEJO LEDESMA,CORDOBA,2662,011-4313-6914
ALEJO RURAL S.R.L.,33-66843582-9,SRSVR,728 COMFER/1992,,EXPCOMFER 522/1992,RUTA 8 Y ACCESO S/N  ,ALEJO LEDESMA,CORDOBA,2662,011-4313-6914
ALEJO TV S.R.L.,30-71057038-4,SVA,5260  ENACOM/2016,07/07/2016,EXPCNC 16151/2008,CORRIENTES 683  ,ALEJO LEDESMA,CORDOBA,X2662AFM,03468-64-4601
